[2018-05-31 16:17:39.551] [logfile] [info] Writing CSV file (STEP 670)
[2018-05-31 16:17:39.556] [logfile] [info] Writing CSV file (STEP 680)
[2018-05-31 16:17:39.560] [logfile] [info] Writing CSV file (STEP 690)
[2018-05-31 16:17:39.565] [logfile] [info] Writing CSV file (STEP 700)
[2018-05-31 16:17:39.569] [logfile] [info] Writing CSV file (STEP 710)
[2018-05-31 16:17:39.574] [logfile] [info] Writing CSV file (STEP 720)
[2018-05-31 16:17:39.579] [logfile] [info] Writing CSV file (STEP 730)
[2018-05-31 16:17:39.583] [logfile] [info] Writing CSV file (STEP 740)
[2018-05-31 16:17:39.587] [logfile] [info] Writing CSV file (STEP 750)
[2018-05-31 16:17:39.591] [logfile] [info] Writing CSV file (STEP 760)
[2018-05-31 16:17:39.595] [logfile] [info] Writing CSV file (STEP 770)
[2018-05-31 16:17:39.599] [logfile] [info] Writing CSV file (STEP 780)
[2018-05-31 16:17:39.604] [logfile] [info] Writing CSV file (STEP 790)
[2018-05-31 16:17:39.609] [logfile] [info] Writing CSV file (STEP 800)
[2018-05-31 16:17:39.613] [logfile] [info] Writing CSV file (STEP 810)
[2018-05-31 16:17:39.617] [logfile] [info] Writing CSV file (STEP 820)
[2018-05-31 16:17:39.621] [logfile] [info] Writing CSV file (STEP 830)
[2018-05-31 16:17:39.625] [logfile] [info] Writing CSV file (STEP 840)
[2018-05-31 16:17:39.629] [logfile] [info] Writing CSV file (STEP 850)
[2018-05-31 16:17:39.633] [logfile] [info] Writing CSV file (STEP 860)
[2018-05-31 16:17:39.638] [logfile] [info] Writing CSV file (STEP 870)
[2018-05-31 16:17:39.642] [logfile] [info] Writing CSV file (STEP 880)
[2018-05-31 16:17:39.646] [logfile] [info] Writing CSV file (STEP 890)
[2018-05-31 16:17:39.650] [logfile] [info] Writing CSV file (STEP 900)
[2018-05-31 16:17:39.654] [logfile] [info] Writing CSV file (STEP 910)
[2018-05-31 16:17:39.658] [logfile] [info] Writing CSV file (STEP 920)
[2018-05-31 16:17:39.662] [logfile] [info] Writing CSV file (STEP 930)
[2018-05-31 16:17:39.666] [logfile] [info] Writing CSV file (STEP 940)
[2018-05-31 16:17:39.671] [logfile] [info] Writing CSV file (STEP 950)
[2018-05-31 16:17:39.675] [logfile] [info] Writing CSV file (STEP 960)
[2018-05-31 16:17:39.678] [logfile] [info] Writing CSV file (STEP 970)
[2018-05-31 16:17:39.682] [logfile] [info] Writing CSV file (STEP 980)
[2018-05-31 16:17:39.686] [logfile] [info] Writing CSV file (STEP 990)
[2018-05-31 16:17:39.690] [logfile] [info] Writing CSV file (STEP 1000)
[2018-05-31 16:17:39.691] [logfile] [info] Writing Snapshot file ../Example/output/snap-1000.csv (STEP 1000)
[2018-05-31 16:17:39.716] [logfile] [info] TIME PREPROCESSING: 0.182423s
[2018-05-31 16:17:39.716] [logfile] [info] TIME SIMULATION: 0.423692s
[2018-05-31 16:17:39.716] [logfile] [info] TIME ELAPSED: 0.606114s
